표준코드,단축코드,한글종목명,한글종목약명,영문종목명,상장일,기초지수명,지수산출기관,추적배수,복제방법,기초시장분류,기초자산분류,상장좌수,운용사,CU수량,총보수,과세유형
"KR7445690001","445690","BNK BNK 주주가치액티브증권상장지수투자신탁(주식)","BNK 주주가치액티브","BNK BNK Shareholder Yield Active ETF","2022/10/27","FnGuide 주주가치 지수","FnGuide","일반 (1)","실물(액티브)","국내","주식","1100000","비엔케이자산운용","50000","0.495","배당소득세(보유기간과세)"
"KR7292340007","292340","DB 마이티 200커버드콜ATM레버리지증권상장지수투자신탁[주식-파생형]","마이티 200커버드콜ATM레버리지","DB Mighty KOSPI200 Covered Call ATM Leverage ETF","2018/03/20","코스피 200 커버드콜 ATM 지수","KRX","2X 레버리지 (2)","실물(패시브)","국내","주식","600000","디비자산운용","100000","0.510","배당소득세(보유기간과세)"
"KR7442260006","442260","DB 마이티 다이나믹퀀트액티브증권상장지수투자신탁[주식]","마이티 다이나믹퀀트액티브","DB Mighty Dynamic Quant Active ETF","2022/10/25","코스피 200","KRX","일반 (1)","실물(액티브)","국내","주식","1000000","디비자산운용","40000","0.300","배당소득세(보유기간과세)"
"KR7159800002","159800","DB마이티K100증권상장지수투자신탁(주식)","마이티 코스피100","DB Mighty K100 ETF","2012/07/05","코스피 100","KRX","일반 (1)","실물(패시브)","국내","주식","280000","디비자산운용","40000","0.390","비과세"
"KR7361580004","361580","KB KBSTAR 200 Total Return증권상장지수투자신탁(주식)","KBSTAR 200TR","KB KBSTAR 200 Total Return ETF","2020/08/21","코스피 200 TR","KRX","일반 (1)","실물(패시브)","국내","주식","9750000","케이비자산운용","50000","0.012","배당소득세(보유기간과세)"
"KR7285000006","285000","KB KBSTAR 200IT증권상장지수투자신탁(주식)","KBSTAR 200IT","KB KBSTAR 200 Information Technology ETF","2017/12/08","코스피 200 정보기술","KRX","일반 (1)","실물(패시브)","국내","주식","520000","케이비자산운용","20000","0.190","비과세"
"KR7287300008","287300","KB KBSTAR 200건설증권상장지수투자신탁(주식)","KBSTAR 200건설","KB KBSTAR 200 Constructions ETF","2017/12/22","코스피 200 건설","KRX","일반 (1)","실물(패시브)","국내","주식","240000","케이비자산운용","20000","0.190","비과세"
"KR7287310007","287310","KB KBSTAR 200경기소비재증권상장지수투자신탁(주식)","KBSTAR 200경기소비재","KB KBSTAR 200 Consumer Discretionary ETF","2017/12/22","코스피 200 경기소비재","KRX","일반 (1)","실물(패시브)","국내","주식","520000","케이비자산운용","20000","0.190","비과세"
"KR7290080001","290080","KB KBSTAR 200고배당커버드콜ATM증권상장지수투자신탁(주식-파생형)","KBSTAR 200고배당커버드콜ATM","KB KBSTAR 200 High Dividend Covered Call ATM ETF","2018/02/27","코스피 200 고배당커버드콜 ATM 지수(시장가격지수)","KRX","일반 (1)","실물(패시브)","국내","주식","700000","케이비자산운용","50000","0.400","배당소득세(보유기간과세)"
"KR7284980000","284980","KB KBSTAR 200금융증권상장지수투자신탁(주식)","KBSTAR 200금융","KB KBSTAR 200 Financials ETF","2017/12/08","코스피 200 금융","KRX","일반 (1)","실물(패시브)","국내","주식","480000","케이비자산운용","20000","0.190","비과세"
"KR7287320006","287320","KB KBSTAR 200산업재증권상장지수투자신탁(주식)","KBSTAR 200산업재","KB KBSTAR 200 Industrials ETF","2017/12/22","코스피 200 산업재","KRX","일반 (1)","실물(패시브)","국내","주식","80000","케이비자산운용","20000","0.190","비과세"
"KR7287330005","287330","KB KBSTAR 200생활소비재증권상장지수투자신탁(주식)","KBSTAR 200생활소비재","KB KBSTAR 200 Consumer Staples ETF","2017/12/22","코스피 200 생활소비재","KRX","일반 (1)","실물(패시브)","국내","주식","180000","케이비자산운용","20000","0.190","비과세"
"KR7252400007","252400","KB KBSTAR 200선물레버리지증권상장지수투자신탁(주식-파생형)","KBSTAR 200선물레버리지","KB KBSTAR 200 Futures Leverage ETF","2016/09/12","코스피 200 선물지수","KRX","2X 레버리지 (2)","실물(패시브)","국내","주식","1500000","케이비자산운용","100000","0.600","배당소득세(보유기간과세)"
"KR7252420005","252420","KB KBSTAR 200선물인버스2X증권상장지수투자신탁(주식-파생형)","KBSTAR 200선물인버스2X","KB KBSTAR 200 Futures Inverse 2X ETF","2016/09/22","코스피 200 선물지수","KRX","2X 인버스 (-2)","실물(패시브)","국내","주식","10900000","케이비자산운용","100000","0.600","배당소득세(보유기간과세)"
"KR7252410006","252410","KB KBSTAR 200선물인버스증권상장지수투자신탁(주식-파생형)","KBSTAR 200선물인버스","KB KBSTAR 200 Futures Inverse ETF","2016/09/12","코스피 200 선물지수","KRX","1X 인버스 (-1)","실물(패시브)","국내","주식","2800000","케이비자산운용","100000","0.600","배당소득세(보유기간과세)"
"KR7284990009","284990","KB KBSTAR 200에너지화학증권상장지수투자신탁(주식)","KBSTAR 200에너지화학","KB KBSTAR 200 Energy & Chemicals ETF","2017/12/08","코스피 200 에너지/화학","KRX","일반 (1)","실물(패시브)","국내","주식","520000","케이비자산운용","20000","0.190","비과세"
"KR7285010005","285010","KB KBSTAR 200중공업증권상장지수투자신탁(주식)","KBSTAR 200중공업","KB KBSTAR 200 Heavy Industries ETF","2017/12/08","코스피 200 중공업","KRX","일반 (1)","실물(패시브)","국내","주식","560000","케이비자산운용","20000","0.190","비과세"
"KR7148020001","148020","KB KBSTAR 200증권상장지수투자신탁(주식)","KBSTAR 200","KB KBSTAR 200 Securities ETF(Equity)","2011/10/20","코스피 200","KRX","일반 (1)","실물(패시브)","국내","주식","34000000","케이비자산운용","50000","0.017","비과세"
"KR7285020004","285020","KB KBSTAR 200철강소재증권상장지수투자신탁(주식)","KBSTAR 200철강소재","KB KBSTAR 200 Steels & Materials ETF","2017/12/08","코스피 200 철강/소재","KRX","일반 (1)","실물(패시브)","국내","주식","320000","케이비자산운용","20000","0.190","비과세"
"KR7315480004","315480","KB KBSTAR 200커뮤니케이션서비스증권상장지수투자신탁(주식)","KBSTAR 200커뮤니케이션서비스","KB KBSTAR 200Communication Service ETF","2019/01/15","코스피 200 커뮤니케이션서비스","KRX","일반 (1)","실물(패시브)","국내","주식","520000","케이비자산운용","20000","0.190","비과세"
"KR7422420000","422420","KB KBSTAR 2차전지액티브증권상장지수투자신탁(주식)","KBSTAR 2차전지액티브","KB KBSTAR Secondary Cell Active ETF","2022/04/08","iSelect 2차전지 지수 (시장가격지수)","NH투자증권","일반 (1)","실물(액티브)","국내","주식","9660000","케이비자산운용","20000","0.350","배당소득세(보유기간과세)"
"KR7105780001","105780","KB KBSTAR 5대그룹주증권상장지수투자신탁(주식)","KBSTAR 5대그룹주","KB KBSTAR Top5 Group ETF","2008/10/22","MKF 5대그룹주","FnGuide","일반 (1)","실물(패시브)","국내","주식","1000000","케이비자산운용","200000","0.400","비과세"
"KR7290130004","290130","KB KBSTAR ESG사회책임투자증권상장지수투자신탁(주식)","KBSTAR ESG사회책임투자","KB KBSTAR ESG SRI ETF","2018/02/27","KRX ESG 사회책임경영지수(S)","KRX","일반 (1)","실물(패시브)","국내","주식","22550000","케이비자산운용","50000","0.300","비과세"
"KR7368200002","368200","KB KBSTAR Fn K-뉴딜디지털플러스증권상장지수투자신탁(주식)","KBSTAR Fn K-뉴딜디지털플러스","KB KBSTAR Fn K-NewDeal Digital Plus ETF","2020/11/10","FnGuide K-뉴딜 디지털 플러스 지수","FnGuide","일반 (1)","실물(패시브)","국내","주식","500000","케이비자산운용","50000","0.090","비과세"
"KR7367760006","367760","KB KBSTAR Fn5G테크증권상장지수투자신탁(주식)","KBSTAR Fn5G테크","KB KBSTAR Fn5G Tech ETF","2020/10/29","FnGuide 5G 테크 지수","FnGuide","일반 (1)","실물(패시브)","국내","주식","11250000","케이비자산운용","50000","0.450","비과세"
"KR7367770005","367770","KB KBSTAR Fn수소경제테마증권상장지수투자신탁(주식)","KBSTAR Fn수소경제테마","KB KBSTAR Fn Hydrogen Economy ETF","2020/10/29","FnGuide 수소 경제 테마 지수","FnGuide","일반 (1)","실물(패시브)","국내","주식","28450000","케이비자산운용","50000","0.450","비과세"
"KR7427110002","427110","KB KBSTAR Fn창업투자회사증권상장지수투자신탁(주식)","KBSTAR Fn창업투자회사","KB KBSTAR Venture Capital Company ETF","2022/05/17","FnGuide 창업투자회사 지수(시장가격지수)","FnGuide","일반 (1)","실물(패시브)","국내","주식","760000","케이비자산운용","20000","0.450","비과세"
"KR7388280000","388280","KB KBSTAR Fn컨택트대표 증권상장지수투자신탁(주식)","KBSTAR Fn컨택트대표","KB KBSTAR Contact Leader ETF","2021/06/10","FnGuide 컨택트대표 지수(시장가격지수)","FnGuide","일반 (1)","실물(패시브)","국내","주식","7240000","케이비자산운용","20000","0.450","비과세"
"KR7427120001","427120","KB KBSTAR Fn플랫폼테마증권상장지수투자신탁(주식)","KBSTAR Fn플랫폼테마","KB KBSTAR Platform Theme ETF","2022/05/17","FnGuide 플랫폼테마 지수(시장가격지수)","FnGuide","일반 (1)","실물(패시브)","국내","주식","620000","케이비자산운용","20000","0.450","비과세"
"KR7326240009","326240","KB KBSTAR IT플러스증권상장지수투자신탁(주식)","KBSTAR IT플러스","KB KBSTAR IT Plus ETF","2019/06/20","FnGuide IT플러스 지수","FnGuide","일반 (1)","실물(패시브)","국내","주식","9320000","케이비자산운용","20000","0.400","비과세"
"KR7385560008","385560","KB KBSTAR KIS국고채30년Enhanced증권상장지수투자신탁(채권)","KBSTAR KIS국고채30년Enhanced","KB KBSTAR 30-Years Treasury Bond Enhanced ETF","2021/05/26","KIS 국고채30년Enhanced지수(시장가격)","KIS 채권평가","일반 (1)","실물(패시브)","국내","채권","2680000","케이비자산운용","10000","0.050","배당소득세(보유기간과세)"
"KR7385550009","385550","KB KBSTAR KIS단기종합채권(AA-이상)액티브증권상장지수투자신탁(채권)","KBSTAR KIS단기종합채권(AA-이상)액티브","KB KBSTAR Active Korea Short Term Bond Market(AA-) ETF","2021/05/26","KIS 단기종합채권지수(AA-이상)(총수익지수)","KIS 채권평가","일반 (1)","실물(액티브)","국내","채권","2259000","케이비자산운용","1000","0.050","배당소득세(보유기간과세)"
"KR7385540000","385540","KB KBSTAR KIS종합채권(A-이상)액티브증권상장지수투자신탁(채권)","KBSTAR KIS종합채권(A-이상)액티브","KB KBSTAR Active Korea Total Bond Market(A-) ETF","2021/05/26","KIS 종합채권 지수(A-이상)(총수익지수)","KIS 채권평가","일반 (1)","실물(액티브)","국내","채권","4963000","케이비자산운용","1000","0.050","배당소득세(보유기간과세)"
"KR7270800006","270800","KB KBSTAR KQ고배당증권상장지수투자신탁(주식)","KBSTAR KQ고배당","KB KBSTAR KQ High Dividend ETF","2017/07/07","FnGuide KQ고배당포커스 지수","FnGuide","일반 (1)","실물(패시브)","국내","주식","650000","케이비자산운용","50000","0.300","비과세"
"KR7307010009","307010","KB KBSTAR KRX300레버리지증권상장지수투자신탁(주식-파생형)","KBSTAR KRX300레버리지","KB KBSTAR KRX300 Leverage ETF","2018/10/16","KRX 300","KRX","2X 레버리지 (2)","실물(패시브)","국내","주식","700000","케이비자산운용","100000","0.550","배당소득세(보유기간과세)"
"KR7319870002","319870","KB KBSTAR KRX300미국달러선물혼합자산상장지수투자신탁(혼합-파생형)","KBSTAR KRX300미국달러선물혼합","KB KBSTAR KRX300 USD Futures Balanced ETF","2019/03/19","KRX 300 미국달러 선물혼합지수","KRX","일반 (1)","실물(패시브)","국내","주식","500000","케이비자산운용","50000","0.300","배당소득세(보유기간과세)"
"KR7292050002","292050","KB KBSTAR KRX300증권상장지수투자신탁(주식)","KBSTAR KRX300","KB KBSTAR KRX300 ETF","2018/03/26","KRX 300","KRX","일반 (1)","실물(패시브)","국내","주식","650000","케이비자산운용","50000","0.050","비과세"
"KR7403990005","403990","KB KBSTAR KRX기후변화솔루션증권상장지수투자신탁(주식)","KBSTAR KRX기후변화솔루션","KB KBSTAR KRX Climate Change Solutions ETF","2021/10/29","KRX 기후변화 솔루션지수","KRX","일반 (1)","실물(패시브)","국내","주식","700000","케이비자산운용","50000","0.300","비과세"
"KR7442550000","442550","KB KBSTAR TDF2030액티브증권상장지수투자신탁(혼합-재간접형)","KBSTAR TDF2030액티브","KB KBSTAR TDF2030 Active ETF","2022/09/22","iSelect 전략적자산배분 TDF 2030 지수","NH투자증권","일반 (1)","실물(액티브)","국내&해외","기타","650000","케이비자산운용","50000","0.180","배당소득세(보유기간과세)"
"KR7442560009","442560","KB KBSTAR TDF2040액티브증권상장지수투자신탁(혼합-재간접형)","KBSTAR TDF2040액티브","KB KBSTAR TDF2040 Active ETF","2022/09/22","iSelect 전략적자산배분 TDF 2040 지수","NH투자증권","일반 (1)","실물(액티브)","국내&해외","기타","650000","케이비자산운용","50000","0.180","배당소득세(보유기간과세)"
"KR7442570008","442570","KB KBSTAR TDF2050액티브증권상장지수투자신탁(혼합-재간접형)","KBSTAR TDF2050액티브","KB KBSTAR TDF2050 Active ETF","2022/09/22","iSelect 전략적자산배분 TDF 2050 지수","NH투자증권","일반 (1)","실물(액티브)","국내&해외","기타","650000","케이비자산운용","50000","0.180","배당소득세(보유기간과세)"
"KR7234310001","234310","KB KBSTAR V&S셀렉트밸류증권상장지수투자신탁(주식)","KBSTAR V&S셀렉트밸류","KB KBSTAR V&S Select Value ETF","2016/02/02","FnGuide 셀렉트 밸류 지수","FnGuide","일반 (1)","실물(패시브)","국내","주식","500000","케이비자산운용","100000","0.300","비과세"
"KR7241390004","241390","KB KBSTAR V&S셀렉트밸류채권혼합증권상장지수투자신탁(채권혼합)","KBSTAR V&S셀렉트밸류채권혼합","KB KBSTAR V&S Select Value Fixed Income Balanced","2016/04/12","FnGuide 셀렉트벨류 채권혼합지수","FnGuide","일반 (1)","실물(패시브)","국내","혼합자산","1200000","케이비자산운용","200000","0.230","배당소득세(보유기간과세)"
"KR7401170006","401170","KB KBSTAR iSelect메타버스증권상장지수투자신탁(주식)","KBSTAR iSelect메타버스","KB KBSTAR iSelect METAVERSE ETF","2021/10/13","iSelect 메타버스 지수(시장가격지수)","NH투자증권","일반 (1)","실물(패시브)","국내","주식","21920000","케이비자산운용","20000","0.450","비과세"
"KR7300640000","300640","KB KBSTAR 게임테마증권상장지수투자신탁(주식)","KBSTAR 게임테마","KB KBSTAR Game Industry ETF","2018/07/24","WISE 게임 테마 지수 (시장가격지수)","WiseFn","일반 (1)","실물(패시브)","국내","주식","3300000","케이비자산운용","50000","0.300","비과세"
"KR7266160001","266160","KB KBSTAR 고배당증권상장지수투자신탁(주식)","KBSTAR 고배당","KB KBSTAR High Dividend ETF","2017/04/14","FnGuide 고배당포커스 지수","FnGuide","일반 (1)","실물(패시브)","국내","주식","6000000","케이비자산운용","50000","0.200","비과세"
"KR7282000009","282000","KB KBSTAR 국고채3년선물인버스증권상장지수투자신탁(채권-파생형)","KBSTAR 국고채3년선물인버스","KB KBSTAR KTB 3Y Futurues Inverse ETF","2017/11/09","국채선물지수","KRX","1X 인버스 (-1)","실물(패시브)","국내","채권","1005000","케이비자산운용","1000","0.070","배당소득세(보유기간과세)"
"KR7114100001","114100","KB KBSTAR 국고채3년증권상장지수투자신탁(채권)","KBSTAR 국고채3년","KB KBSTAR KTB ETF(Bond)","2009/07/29","KTB INDEX(시장가격)","KRX","일반 (1)","실물(패시브)","국내","채권","165000","케이비자산운용","1000","0.115","배당소득세(보유기간과세)"
"KR7295020002","295020","KB KBSTAR 국채선물10년인버스증권상장지수투자신탁(채권-파생형)","KBSTAR 국채선물10년인버스","KB KBSTAR KTB 10Y Futures Inverse ETF","2018/05/11","10년국채선물지수","KRX","1X 인버스 (-1)","실물(패시브)","국내","채권","176000","케이비자산운용","2000","0.070","배당소득세(보유기간과세)"
"KR7295000004","295000","KB KBSTAR 국채선물10년증권상장지수투자신탁(채권-파생형)","KBSTAR 국채선물10년","KB KBSTAR KTB 10Y Futures ETF","2018/05/11","10년국채선물지수","KRX","일반 (1)","실물(패시브)","국내","채권","324000","케이비자산운용","2000","0.070","배당소득세(보유기간과세)"
